station_number,station_id,latitude,longitude
180,ASN00002015,-18.4086,127.3547
181,ASN00002016,-16.6742,128.5533
182,ASN00002017,-18.7106,126.7111
183,ASN00002018,-17.1792,128.1217
184,ASN00002019,-18.6253,126.8617
185,ASN00002020,-18.1894,127.5011
186,ASN00002021,-18.3869,126.9892
187,ASN00002022,-18.016,126.3033
188,ASN00002023,-18.0308,128.8942
189,ASN00002024,-17.4,128.85
190,ASN00002026,-18.5958,127.6419
191,ASN00002028,-16.8181,128.8656
192,ASN00002029,-19.1625,128.1633
193,ASN00002030,-17.2964,126.915
194,ASN00002031,-17.0103,128.4669
195,ASN00002032,-17.0156,128.2175
196,ASN00002033,-17.8,128.3
197,ASN00002036,-17.3922,126.2306
198,ASN00002038,-15.7828,128.7353
199,ASN00002041,-17.385,128.9231
200,ASN00002042,-17.3594,126.1086
201,ASN00002043,-18.3368,126.1243
202,ASN00002044,-16.1119,128.7414
203,ASN00002047,-17.2631,127.4617
204,ASN00002048,-18.2972,128.4419
205,ASN00002049,-18.1947,127.8147
206,ASN00002050,-17.7842,127.6853
207,ASN00002051,-19.5561,127.6644
208,ASN00002052,-15.8367,128.7397
209,ASN00002053,-17.6133,126.7442
210,ASN00002056,-15.7814,128.71
211,ASN00002060,-16.0397,128.415
212,ASN00002061,-19.2353,127.7692
213,ASN00002062,-18.4236,128.0314
214,ASN00002064,-16.6381,128.4517
215,ASN00002067,-15.9816,128.9991
216,ASN00002069,-16.4433,127.7836
217,ASN00002075,-19.0378,126.0931
218,ASN00003000,-16.9806,122.6667
219,ASN00003001,-17.2767,122.5711
220,ASN00003003,-17.9475,122.2353
221,ASN00003004,-16.3961,122.9278
222,ASN00003005,-17.5731,125.065
223,ASN00003006,-18.1919,125.5644
224,ASN00003007,-17.3044,123.6292
225,ASN00003008,-17.9281,124.8108
226,ASN00003009,-18.355,125.3033
227,ASN00003010,-17.3897,124.3578
228,ASN00003011,-17.7535,125.3807
229,ASN00003012,-18.0483,124.1728
230,ASN00003013,-18.145,124.0275
231,ASN00003014,-18.2914,125.5869
232,ASN00003015,-17.3681,123.9956
233,ASN00003016,-18.0358,123.9286
234,ASN00003017,-17.0522,125.7047
235,ASN00003018,-18.1219,124.2692
236,ASN00003019,-17.3306,124.8167
237,ASN00003020,-18.5,124.3992
238,ASN00003021,-18.4875,124.8231
239,ASN00003022,-18.3817,125.2267
240,ASN00003023,-17.9311,122.4725
241,ASN00003024,-17.9464,123.7383
242,ASN00003025,-16.09,123.5942
243,ASN00003026,-17.6153,123.6483
244,ASN00003027,-18.1386,125.7764
245,ASN00003028,-19.2536,121.4861
246,ASN00003029,-18.7983,121.7125
247,ASN00003030,-18.6844,121.7803
248,ASN00003031,-16.5167,122.8908
249,ASN00003032,-17.3706,123.6611
250,ASN00003033,-17.7472,124.5283
251,ASN00003039,-16.9667,125.3
252,ASN00003040,-17.9903,124.1922
253,ASN00003041,-17.6925,122.7128
254,ASN00003043,-18.8789,125.9206
255,ASN00003044,-18.1103,125.6431
256,ASN00003048,-18.9158,125.5264
257,ASN00003051,-16.7372,125.9086
258,ASN00003052,-16.8206,124.9158
259,ASN00003056,-18.1792,122.3583
260,ASN00003057,-16.4514,123.0086
261,ASN00003059,-19.0861,121.6764
262,ASN00003062,-16.5833,125.4833
263,ASN00003063,-16.715,125.4586
264,ASN00003066,-18.5175,121.8072
265,ASN00003068,-18.5075,123.4561
266,ASN00003069,-16.1306,123.7764
267,ASN00003072,-16.4508,123.0653
268,ASN00003073,-16.6872,123.8375
269,ASN00003074,-17.9347,123.4731
