time,latitude,longitude,windspd
2019-10-01,51.25,-114.0,1.7823163
2019-10-02,51.25,-114.0,1.530424
2019-10-03,51.25,-114.0,1.5631515
2019-10-04,51.25,-114.0,2.1493719
2019-10-05,51.25,-114.0,3.0147524
2019-10-06,51.25,-114.0,3.1045125
2019-10-07,51.25,-114.0,3.622535
2019-10-08,51.25,-114.0,3.487255
2019-10-09,51.25,-114.0,2.5090663
2019-10-10,51.25,-114.0,1.495308
2019-10-11,51.25,-114.0,1.8689429
2019-10-12,51.25,-114.0,1.6213111
2019-10-13,51.25,-114.0,1.94097
2019-10-14,51.25,-114.0,2.9622543
2019-10-15,51.25,-114.0,2.4368737
2019-10-16,51.25,-114.0,2.3410294
2019-10-17,51.25,-114.0,2.6127017
2019-10-18,51.25,-114.0,2.8025103
2019-10-19,51.25,-114.0,1.9076972
2019-10-20,51.25,-114.0,1.6622682
2019-10-21,51.25,-114.0,2.1157467
2019-10-22,51.25,-114.0,2.347427
2019-10-23,51.25,-114.0,3.7745445
2019-10-24,51.25,-114.0,2.5586803
2019-10-25,51.25,-114.0,3.6524458
2019-10-26,51.25,-114.0,4.8209944
2019-10-27,51.25,-114.0,3.2888978
2019-10-28,51.25,-114.0,4.145974
2019-10-29,51.25,-114.0,2.285477
2019-10-30,51.25,-114.0,2.3221996
2019-10-31,51.25,-114.0,2.7771275
