time,latitude,longitude,windspd
2019-10-01,49.5,-113.0,2.0267227
2019-10-02,49.5,-113.0,2.7832499
2019-10-03,49.5,-113.0,2.7557843
2019-10-04,49.5,-113.0,2.7509964
2019-10-05,49.5,-113.0,3.7921278
2019-10-06,49.5,-113.0,3.9909384
2019-10-07,49.5,-113.0,5.3787456
2019-10-08,49.5,-113.0,3.703324
2019-10-09,49.5,-113.0,2.4705665
2019-10-10,49.5,-113.0,1.8925977
2019-10-11,49.5,-113.0,1.9818705
2019-10-12,49.5,-113.0,2.1013925
2019-10-13,49.5,-113.0,1.9863667
2019-10-14,49.5,-113.0,2.527395
2019-10-15,49.5,-113.0,2.0175784
2019-10-16,49.5,-113.0,3.4403484
2019-10-17,49.5,-113.0,3.0595045
2019-10-18,49.5,-113.0,4.672087
2019-10-19,49.5,-113.0,3.2378347
2019-10-20,49.5,-113.0,1.7416211
2019-10-21,49.5,-113.0,3.0387564
2019-10-22,49.5,-113.0,4.394587
2019-10-23,49.5,-113.0,2.148061
2019-10-24,49.5,-113.0,3.3724926
2019-10-25,49.5,-113.0,5.8200355
2019-10-26,49.5,-113.0,3.6420357
2019-10-27,49.5,-113.0,2.7440279
2019-10-28,49.5,-113.0,3.2498324
2019-10-29,49.5,-113.0,2.5794296
2019-10-30,49.5,-113.0,3.4757385
2019-10-31,49.5,-113.0,3.2582877
