time,latitude,longitude,windspd
2019-10-01,52.5,-115.0,1.6032028
2019-10-02,52.5,-115.0,1.2649347
2019-10-03,52.5,-115.0,1.6195656
2019-10-04,52.5,-115.0,2.0577354
2019-10-05,52.5,-115.0,2.9286144
2019-10-06,52.5,-115.0,2.613351
2019-10-07,52.5,-115.0,3.0935977
2019-10-08,52.5,-115.0,3.4351833
2019-10-09,52.5,-115.0,2.5601206
2019-10-10,52.5,-115.0,1.5463718
2019-10-11,52.5,-115.0,1.6280044
2019-10-12,52.5,-115.0,1.455149
2019-10-13,52.5,-115.0,1.42919
2019-10-14,52.5,-115.0,2.7742178
2019-10-15,52.5,-115.0,2.7791522
2019-10-16,52.5,-115.0,1.8460139
2019-10-17,52.5,-115.0,1.9594883
2019-10-18,52.5,-115.0,2.5738251
2019-10-19,52.5,-115.0,1.5811225
2019-10-20,52.5,-115.0,1.4454914
2019-10-21,52.5,-115.0,1.8832583
2019-10-22,52.5,-115.0,2.429962
2019-10-23,52.5,-115.0,4.3308177
2019-10-24,52.5,-115.0,2.257765
2019-10-25,52.5,-115.0,2.9482186
2019-10-26,52.5,-115.0,4.9310293
2019-10-27,52.5,-115.0,3.6789496
2019-10-28,52.5,-115.0,4.3338027
2019-10-29,52.5,-115.0,1.7658769
2019-10-30,52.5,-115.0,1.6449304
2019-10-31,52.5,-115.0,3.029898
