time,latitude,longitude,windspd
2019-10-01,49.5,-114.0,1.8998443
2019-10-02,49.5,-114.0,2.6987581
2019-10-03,49.5,-114.0,2.8451517
2019-10-04,49.5,-114.0,2.829026
2019-10-05,49.5,-114.0,3.74331
2019-10-06,49.5,-114.0,3.9891317
2019-10-07,49.5,-114.0,5.1632524
2019-10-08,49.5,-114.0,3.6139815
2019-10-09,49.5,-114.0,1.9214061
2019-10-10,49.5,-114.0,2.0482678
2019-10-11,49.5,-114.0,2.3776248
2019-10-12,49.5,-114.0,2.7654378
2019-10-13,49.5,-114.0,2.076203
2019-10-14,49.5,-114.0,1.8364458
2019-10-15,49.5,-114.0,1.5883478
2019-10-16,49.5,-114.0,3.2908118
2019-10-17,49.5,-114.0,3.472993
2019-10-18,49.5,-114.0,4.884186
2019-10-19,49.5,-114.0,2.6482363
2019-10-20,49.5,-114.0,2.1146436
2019-10-21,49.5,-114.0,2.9515998
2019-10-22,49.5,-114.0,4.6842046
2019-10-23,49.5,-114.0,1.5736898
2019-10-24,49.5,-114.0,3.4724493
2019-10-25,49.5,-114.0,5.6223264
2019-10-26,49.5,-114.0,2.496782
2019-10-27,49.5,-114.0,2.0267732
2019-10-28,49.5,-114.0,2.6934345
2019-10-29,49.5,-114.0,2.1766982
2019-10-30,49.5,-114.0,3.4297912
2019-10-31,49.5,-114.0,3.352395
