time,latitude,longitude,windspd
2019-10-01,52.25,-113.25,2.533869
2019-10-02,52.25,-113.25,2.4983656
2019-10-03,52.25,-113.25,2.7560847
2019-10-04,52.25,-113.25,2.6274736
2019-10-05,52.25,-113.25,3.224302
2019-10-06,52.25,-113.25,2.850318
2019-10-07,52.25,-113.25,3.321126
2019-10-08,52.25,-113.25,4.880333
2019-10-09,52.25,-113.25,2.941517
2019-10-10,52.25,-113.25,1.9943093
2019-10-11,52.25,-113.25,1.7391881
2019-10-12,52.25,-113.25,2.8019397
2019-10-13,52.25,-113.25,1.8750019
2019-10-14,52.25,-113.25,3.3382196
2019-10-15,52.25,-113.25,3.376181
2019-10-16,52.25,-113.25,2.7699776
2019-10-17,52.25,-113.25,2.8004286
2019-10-18,52.25,-113.25,2.4646099
2019-10-19,52.25,-113.25,2.1413975
2019-10-20,52.25,-113.25,2.2117178
2019-10-21,52.25,-113.25,2.0098531
2019-10-22,52.25,-113.25,1.993483
2019-10-23,52.25,-113.25,5.834917
2019-10-24,52.25,-113.25,2.2726145
2019-10-25,52.25,-113.25,3.9098656
2019-10-26,52.25,-113.25,5.7352605
2019-10-27,52.25,-113.25,4.0525556
2019-10-28,52.25,-113.25,5.711861
2019-10-29,52.25,-113.25,2.9113476
2019-10-30,52.25,-113.25,2.0399778
2019-10-31,52.25,-113.25,4.0111914
