time,latitude,longitude,windspd
2019-10-01,52.5,-113.5,2.4660041
2019-10-02,52.5,-113.5,2.1843758
2019-10-03,52.5,-113.5,2.5720165
2019-10-04,52.5,-113.5,2.6779635
2019-10-05,52.5,-113.5,3.3073032
2019-10-06,52.5,-113.5,2.7849247
2019-10-07,52.5,-113.5,2.980965
2019-10-08,52.5,-113.5,4.6819954
2019-10-09,52.5,-113.5,2.8286803
2019-10-10,52.5,-113.5,2.0108569
2019-10-11,52.5,-113.5,1.7420387
2019-10-12,52.5,-113.5,2.606953
2019-10-13,52.5,-113.5,1.8566576
2019-10-14,52.5,-113.5,3.202925
2019-10-15,52.5,-113.5,3.2530034
2019-10-16,52.5,-113.5,2.5357864
2019-10-17,52.5,-113.5,2.7736301
2019-10-18,52.5,-113.5,2.4564312
2019-10-19,52.5,-113.5,1.8729428
2019-10-20,52.5,-113.5,2.0747063
2019-10-21,52.5,-113.5,2.0426538
2019-10-22,52.5,-113.5,1.8758655
2019-10-23,52.5,-113.5,5.555468
2019-10-24,52.5,-113.5,2.187332
2019-10-25,52.5,-113.5,3.64892
2019-10-26,52.5,-113.5,5.3928795
2019-10-27,52.5,-113.5,3.8614285
2019-10-28,52.5,-113.5,5.584538
2019-10-29,52.5,-113.5,2.62521
2019-10-30,52.5,-113.5,2.0489364
2019-10-31,52.5,-113.5,4.0347867
