time,latitude,longitude,windspd
2019-10-01,51.75,-114.0,2.4497101
2019-10-02,51.75,-114.0,1.8042127
2019-10-03,51.75,-114.0,2.477923
2019-10-04,51.75,-114.0,2.4608107
2019-10-05,51.75,-114.0,3.3891184
2019-10-06,51.75,-114.0,3.128313
2019-10-07,51.75,-114.0,3.9550514
2019-10-08,51.75,-114.0,4.347731
2019-10-09,51.75,-114.0,3.0870297
2019-10-10,51.75,-114.0,1.8587834
2019-10-11,51.75,-114.0,2.0623753
2019-10-12,51.75,-114.0,2.3210838
2019-10-13,51.75,-114.0,2.1285026
2019-10-14,51.75,-114.0,3.6995356
2019-10-15,51.75,-114.0,3.394173
2019-10-16,51.75,-114.0,2.9227312
2019-10-17,51.75,-114.0,3.2772906
2019-10-18,51.75,-114.0,3.3383322
2019-10-19,51.75,-114.0,2.082962
2019-10-20,51.75,-114.0,2.0333302
2019-10-21,51.75,-114.0,2.1114538
2019-10-22,51.75,-114.0,2.6423433
2019-10-23,51.75,-114.0,5.6894984
2019-10-24,51.75,-114.0,2.8889475
2019-10-25,51.75,-114.0,4.3326154
2019-10-26,51.75,-114.0,6.091574
2019-10-27,51.75,-114.0,4.472067
2019-10-28,51.75,-114.0,5.4837584
2019-10-29,51.75,-114.0,2.6090417
2019-10-30,51.75,-114.0,2.1176982
2019-10-31,51.75,-114.0,3.497773
