time,latitude,longitude,windspd
2019-10-01,51.25,-113.25,2.2744315
2019-10-02,51.25,-113.25,2.3845055
2019-10-03,51.25,-113.25,2.2552013
2019-10-04,51.25,-113.25,2.1233442
2019-10-05,51.25,-113.25,3.3592494
2019-10-06,51.25,-113.25,2.9336033
2019-10-07,51.25,-113.25,3.9442785
2019-10-08,51.25,-113.25,5.1697664
2019-10-09,51.25,-113.25,2.9810398
2019-10-10,51.25,-113.25,1.5925508
2019-10-11,51.25,-113.25,1.8419538
2019-10-12,51.25,-113.25,2.4678972
2019-10-13,51.25,-113.25,1.8011752
2019-10-14,51.25,-113.25,3.4548864
2019-10-15,51.25,-113.25,3.2827814
2019-10-16,51.25,-113.25,3.0320454
2019-10-17,51.25,-113.25,3.9960606
2019-10-18,51.25,-113.25,3.6336277
2019-10-19,51.25,-113.25,2.536574
2019-10-20,51.25,-113.25,2.3004057
2019-10-21,51.25,-113.25,1.9007778
2019-10-22,51.25,-113.25,2.4611042
2019-10-23,51.25,-113.25,5.83538
2019-10-24,51.25,-113.25,2.6423404
2019-10-25,51.25,-113.25,4.435377
2019-10-26,51.25,-113.25,6.2641625
2019-10-27,51.25,-113.25,3.64272
2019-10-28,51.25,-113.25,5.5968323
2019-10-29,51.25,-113.25,2.8952081
2019-10-30,51.25,-113.25,2.1836398
2019-10-31,51.25,-113.25,3.3618813
