time,latitude,longitude,windspd
2019-10-01,51.25,-115.5,1.3033296
2019-10-02,51.25,-115.5,1.5401479
2019-10-03,51.25,-115.5,1.692856
2019-10-04,51.25,-115.5,2.0086129
2019-10-05,51.25,-115.5,2.2534566
2019-10-06,51.25,-115.5,2.3407862
2019-10-07,51.25,-115.5,2.6058645
2019-10-08,51.25,-115.5,1.6066784
2019-10-09,51.25,-115.5,1.0120236
2019-10-10,51.25,-115.5,1.5376729
2019-10-11,51.25,-115.5,1.7190176
2019-10-12,51.25,-115.5,1.9566358
2019-10-13,51.25,-115.5,1.2388208
2019-10-14,51.25,-115.5,1.307761
2019-10-15,51.25,-115.5,1.5986983
2019-10-16,51.25,-115.5,2.1288688
2019-10-17,51.25,-115.5,2.3465183
2019-10-18,51.25,-115.5,2.121697
2019-10-19,51.25,-115.5,1.5469953
2019-10-20,51.25,-115.5,1.5848927
2019-10-21,51.25,-115.5,1.7934054
2019-10-22,51.25,-115.5,2.2168658
2019-10-23,51.25,-115.5,1.5215172
2019-10-24,51.25,-115.5,2.088016
2019-10-25,51.25,-115.5,2.6408079
2019-10-26,51.25,-115.5,1.629516
2019-10-27,51.25,-115.5,1.4653177
2019-10-28,51.25,-115.5,1.7426747
2019-10-29,51.25,-115.5,1.5709648
2019-10-30,51.25,-115.5,2.2253366
2019-10-31,51.25,-115.5,2.0779624
