time,latitude,longitude,windspd
2019-10-01,51.0,-115.0,1.677394
2019-10-02,51.0,-115.0,1.9152871
2019-10-03,51.0,-115.0,2.1982217
2019-10-04,51.0,-115.0,2.2954485
2019-10-05,51.0,-115.0,2.5720708
2019-10-06,51.0,-115.0,2.8094196
2019-10-07,51.0,-115.0,3.233655
2019-10-08,51.0,-115.0,2.1264772
2019-10-09,51.0,-115.0,1.1322589
2019-10-10,51.0,-115.0,1.7740927
2019-10-11,51.0,-115.0,2.0145004
2019-10-12,51.0,-115.0,2.325773
2019-10-13,51.0,-115.0,1.5109545
2019-10-14,51.0,-115.0,1.3901798
2019-10-15,51.0,-115.0,1.6761869
2019-10-16,51.0,-115.0,2.3897138
2019-10-17,51.0,-115.0,2.4275963
2019-10-18,51.0,-115.0,2.4703262
2019-10-19,51.0,-115.0,1.925725
2019-10-20,51.0,-115.0,1.685388
2019-10-21,51.0,-115.0,2.0852506
2019-10-22,51.0,-115.0,2.6143298
2019-10-23,51.0,-115.0,1.5687457
2019-10-24,51.0,-115.0,2.4587002
2019-10-25,51.0,-115.0,3.4402075
2019-10-26,51.0,-115.0,2.187774
2019-10-27,51.0,-115.0,1.9465553
2019-10-28,51.0,-115.0,1.9822501
2019-10-29,51.0,-115.0,2.0223382
2019-10-30,51.0,-115.0,2.8056638
2019-10-31,51.0,-115.0,2.4201589
