time,latitude,longitude,windspd
2019-10-01,51.0,-113.25,1.9789807
2019-10-02,51.0,-113.25,1.9690262
2019-10-03,51.0,-113.25,1.7647892
2019-10-04,51.0,-113.25,2.1857889
2019-10-05,51.0,-113.25,3.1740253
2019-10-06,51.0,-113.25,3.04088
2019-10-07,51.0,-113.25,3.817813
2019-10-08,51.0,-113.25,4.949555
2019-10-09,51.0,-113.25,2.879525
2019-10-10,51.0,-113.25,1.4808012
2019-10-11,51.0,-113.25,1.8114524
2019-10-12,51.0,-113.25,2.076468
2019-10-13,51.0,-113.25,1.8143191
2019-10-14,51.0,-113.25,3.2880971
2019-10-15,51.0,-113.25,3.0918877
2019-10-16,51.0,-113.25,3.0248423
2019-10-17,51.0,-113.25,4.1272583
2019-10-18,51.0,-113.25,3.588726
2019-10-19,51.0,-113.25,2.5115757
2019-10-20,51.0,-113.25,2.1584766
2019-10-21,51.0,-113.25,1.8900431
2019-10-22,51.0,-113.25,2.7960026
2019-10-23,51.0,-113.25,5.341799
2019-10-24,51.0,-113.25,2.6215017
2019-10-25,51.0,-113.25,4.4786944
2019-10-26,51.0,-113.25,6.0298104
2019-10-27,51.0,-113.25,3.4974978
2019-10-28,51.0,-113.25,5.2714233
2019-10-29,51.0,-113.25,2.859086
2019-10-30,51.0,-113.25,2.2185843
2019-10-31,51.0,-113.25,3.1901295
